family,observer,target_tau_rh,calibrated_center,calibrated_tau_rh,observed_tau_rh_after_noise,inverse_stable,inverse_gamma_cv,inverse_roughness
logistic,free_falling,12.9,5.765731462925852,12.9,12.8,False,0.8514613314205804,0.05382500497773951
logistic,accelerating,20.5,13.79619238476954,20.5,20.5,False,1.6386443143672953,0.025144459448913917
logistic,stationary,30.5,23.87114228456914,30.5,30.400000000000002,False,4.4629809959257045,0.009253760308444992
gompertz,free_falling,12.9,8.64316633266533,12.9,12.9,False,1.0845975921156028,0.059321701164791255
gompertz,accelerating,20.5,20.462324649298598,20.5,20.6,True,1.092707383276059,0.034117568866194145
gompertz,stationary,30.5,30.46933867735471,30.5,30.6,False,1.7672377803124204,0.011860884873220207
stretched_exp,free_falling,12.9,12.805170340681364,12.9,12.9,False,0.6932078636913384,0.04601766105217056
stretched_exp,accelerating,20.5,20.462324649298598,20.5,20.5,False,1.177876074297668,0.04208379046055599
stretched_exp,stationary,30.5,30.46933867735471,30.5,30.400000000000002,True,1.196505219410596,0.03361655125800447
hill,free_falling,12.9,12.805170340681364,12.9,12.8,False,0.7589241803606824,0.043995883685754134
hill,accelerating,20.5,20.462324649298598,20.5,20.5,True,0.9629625885569831,0.028291527890398106
hill,stationary,30.5,30.46933867735471,30.5,30.400000000000002,False,1.4295647668497682,0.021510041672795244
